iteration,data_size,number_of_attributes,number_of_trees
1,500,73,100
2,500,73,100
3,500,73,100
4,500,73,100
5,500,73,100
6,500,73,100
7,500,73,100
8,500,73,100
9,500,73,100
10,500,73,100
11,500,73,100
12,500,73,100
13,500,73,100
14,500,73,100
15,500,73,100
16,500,73,100
17,500,73,100
18,500,73,100
19,500,73,100
20,500,73,100
21,500,73,100
22,500,73,100
23,500,73,100
24,500,73,100
25,500,73,100
