iteration,data_size,number_of_attributes,number_of_trees
1,513,46,101
2,513,46,103
3,513,46,106
4,513,46,110
5,513,46,115
6,513,46,121
7,513,46,128
8,513,46,136
9,513,46,145
10,513,46,155
11,513,46,166
12,513,46,178
13,513,46,191
14,513,46,205
15,513,46,220
16,513,46,236
17,513,46,253
18,513,46,271
19,513,46,290
20,513,46,310
21,513,46,331
22,513,46,353
23,513,46,376
24,513,46,400
25,513,46,425
