id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly,anomaly_1,anomaly_2,anomaly_3,anomaly_4,anomaly_5,anomaly_6,anomaly_7,anomaly_8,anomaly_9,anomaly_10,anomaly_11,anomaly_12,anomaly_13,anomaly_14,anomaly_15,anomaly_16,anomaly_17,anomaly_18,anomaly_19,anomaly_20,anomaly_21,anomaly_22,anomaly_23,anomaly_24,anomaly_25,anomaly_average,anomaly_probability
334,n_p,0.103,month_day_hour_min,334,0.45,0.46,0.45,0.46,0.44,0.44,0.40,0.47,0.49,0.51,0.42,0.46,0.48,0.47,0.48,0.46,0.42,0.48,0.45,0.45,0.47,0.50,0.46,0.44,0.44,11.45,0.46,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
335,n_p,0.105,month_day_hour_min,335,0.50,0.52,0.47,0.54,0.50,0.47,0.44,0.48,0.52,0.50,0.48,0.46,0.53,0.51,0.54,0.48,0.49,0.53,0.49,0.51,0.50,0.53,0.49,0.51,0.50,12.49,0.50,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
336,n_p,0.101,month_day_hour_min,336,0.41,0.38,0.43,0.43,0.46,0.39,0.39,0.43,0.42,0.44,0.40,0.42,0.41,0.39,0.40,0.42,0.37,0.40,0.41,0.40,0.43,0.44,0.39,0.40,0.40,10.26,0.41,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
337,n_p,0.105,month_day_hour_min,337,0.47,0.52,0.47,0.48,0.49,0.47,0.42,0.47,0.50,0.48,0.49,0.44,0.52,0.48,0.52,0.48,0.51,0.54,0.49,0.49,0.46,0.52,0.46,0.47,0.47,12.11,0.48,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
338,n_p,0.105,month_day_hour_min,338,0.53,0.50,0.48,0.51,0.52,0.46,0.44,0.48,0.51,0.52,0.53,0.49,0.54,0.53,0.55,0.47,0.52,0.59,0.46,0.49,0.52,0.56,0.47,0.45,0.48,12.60,0.50,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
339,n_p,0.101,month_day_hour_min,339,0.41,0.42,0.43,0.47,0.47,0.42,0.40,0.43,0.44,0.44,0.42,0.44,0.41,0.38,0.42,0.44,0.44,0.42,0.43,0.44,0.45,0.46,0.41,0.39,0.42,10.70,0.43,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
340,n_p,0.103,month_day_hour_min,340,0.43,0.47,0.45,0.46,0.49,0.43,0.41,0.46,0.48,0.48,0.45,0.45,0.47,0.46,0.46,0.45,0.45,0.45,0.44,0.45,0.45,0.49,0.47,0.43,0.46,11.39,0.46,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
341,n_p,0.102,month_day_hour_min,341,0.42,0.44,0.44,0.47,0.46,0.44,0.40,0.42,0.49,0.46,0.45,0.47,0.46,0.44,0.49,0.45,0.44,0.44,0.45,0.46,0.50,0.48,0.43,0.42,0.40,11.22,0.45,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
342,n_p,0.104,month_day_hour_min,342,0.47,0.51,0.46,0.52,0.44,0.49,0.43,0.51,0.50,0.50,0.48,0.46,0.54,0.48,0.56,0.48,0.49,0.50,0.48,0.51,0.50,0.52,0.50,0.47,0.52,12.32,0.49,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
343,n_p,0.105,month_day_hour_min,343,0.44,0.50,0.44,0.46,0.44,0.47,0.42,0.47,0.47,0.46,0.46,0.44,0.49,0.46,0.47,0.45,0.47,0.50,0.47,0.44,0.44,0.48,0.44,0.43,0.46,11.47,0.46,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,false
