id,num,num_files,scores_files
1520,1,function_drive.csv,0.60
1521,1,position_falcon.csv,0.59
1523,1,function_presure.csv,0.59
1531,1,position_falcon.csv,0.59
1533,1,function_level.csv,0.63
1534,2,position_plaxiquet.csv;position_falcon.csv,0.59;0.58
1559,1,function_drive.csv,0.58
1562,2,position_plaxiquet.csv;function_presure.csv,0.60;0.61
1573,1,function_drive.csv,0.61
1574,2,position_playa.csv;function_drive.csv,0.62;0.64
1575,1,function_drive.csv,0.61
1576,1,function_drive.csv,0.62
1577,1,function_drive.csv,0.61
1578,1,function_drive.csv,0.60
1579,1,position_playa.csv,0.60
1580,2,position_playa.csv;function_drive.csv,0.57;0.59
1640,1,function_flow.csv,0.60
1734,1,function_presure.csv,0.58
1800,1,position_pueblo.csv,0.65
1802,3,total.csv;function_presure.csv;function_flow.csv,0.58;0.65;0.59
1842,1,function_drive.csv,0.59
1855,1,function_drive.csv,0.59
1858,1,function_drive.csv,0.60
1883,1,position_playa.csv,0.60
1973,1,function_flow.csv,0.60
2036,3,position_playa.csv;function_presure.csv;function_drive.csv,0.63;0.59;0.61
2092,1,position_falcon.csv,0.58
2117,1,position_falcon.csv,0.59
2125,1,position_falcon.csv,0.58
2126,1,position_falcon.csv,0.59
2158,1,position_falcon.csv,0.58
2223,1,function_flow.csv,0.57
2242,1,position_pueblo.csv,0.69
2245,1,function_flow.csv,0.65
2262,1,function_flow.csv,0.62
2263,1,function_flow.csv,0.58
2303,1,position_pueblo.csv,0.61
2359,1,total.csv,0.59
2457,1,position_falcon.csv,0.58
2533,3,total.csv;position_plaxiquet.csv;function_presure.csv,0.58;0.63;0.59
2573,2,position_plaxiquet.csv;position_falcon.csv,0.58;0.68
2580,1,position_falcon.csv,0.60
2602,1,position_playa.csv,0.62
2603,1,position_falcon.csv,0.62
2606,2,total.csv;position_falcon.csv,0.57;0.67
2608,1,total.csv,0.56
2625,1,position_falcon.csv,0.60
2640,4,total.csv;position_plaxiquet.csv;position_falcon.csv;function_drive.csv,0.55;0.65;0.60;0.59
2641,3,total.csv;position_plaxiquet.csv;function_drive.csv,0.59;0.65;0.59
2645,2,total.csv;position_falcon.csv,0.55;0.62
2646,3,total.csv;position_plaxiquet.csv;position_falcon.csv,0.57;0.60;0.60
2651,1,total.csv,0.55
2672,2,total.csv;position_falcon.csv,0.56;0.64
2712,1,function_level.csv,0.62
2714,1,total.csv,0.55
2715,1,total.csv,0.57
2725,1,function_level.csv,0.62
2726,1,position_falcon.csv,0.61
2728,1,position_falcon.csv,0.60
2733,1,function_presure.csv,0.60
2748,1,position_falcon.csv,0.61
2752,1,function_presure.csv,0.58
2768,1,position_falcon.csv,0.59
2790,3,total.csv;position_falcon.csv;function_flow.csv,0.57;0.59;0.61
2791,1,position_falcon.csv,0.58
2808,1,function_presure.csv,0.63
2857,1,function_drive.csv,0.59
2879,1,position_plaxiquet.csv,0.59
2922,1,position_plaxiquet.csv,0.69
3015,1,position_plaxiquet.csv,0.64
3258,1,position_pueblo.csv,0.58
3279,1,position_playa.csv,0.58
3308,3,total.csv;position_plaxiquet.csv;function_level.csv,0.58;0.59;0.65
3309,2,total.csv;position_plaxiquet.csv,0.61;0.65
3315,1,position_playa.csv,0.58
3316,3,function_level.csv;function_flow.csv;function_drive.csv,0.60;0.60;0.59
3317,2,function_level.csv;function_flow.csv,0.63;0.59
3335,1,position_playa.csv,0.59
3350,1,function_level.csv,0.61
3357,4,total.csv;position_plaxiquet.csv;position_falcon.csv;function_presure.csv,0.60;0.60;0.60;0.62
3498,1,total.csv,0.58
3500,1,position_pueblo.csv,0.58
3513,1,function_flow.csv,0.59
3528,1,position_pueblo.csv,0.60
3572,2,position_pueblo.csv;function_flow.csv,0.59;0.59
3589,1,position_pueblo.csv,0.59
3595,1,function_flow.csv,0.57
3607,3,total.csv;position_pueblo.csv;function_flow.csv,0.55;0.65;0.59
3610,1,total.csv,0.55
3616,1,position_pueblo.csv,0.59
3626,1,position_pueblo.csv,0.59
3627,3,total.csv;position_pueblo.csv;function_flow.csv,0.58;0.64;0.59
3638,1,position_pueblo.csv,0.60
3659,1,function_flow.csv,0.57
3680,1,function_flow.csv,0.58
3681,2,position_pueblo.csv;function_flow.csv,0.60;0.65
3682,1,function_flow.csv,0.57
3700,1,position_pueblo.csv,0.60
3715,2,position_pueblo.csv;function_flow.csv,0.60;0.58
3719,1,function_presure.csv,0.59
3720,2,position_pueblo.csv;function_presure.csv,0.59;0.58
3721,1,total.csv,0.56
3760,2,position_pueblo.csv;function_flow.csv,0.60;0.59
3761,1,position_pueblo.csv,0.60
3780,1,position_pueblo.csv,0.60
3783,1,function_flow.csv,0.57
3794,2,position_pueblo.csv;function_flow.csv,0.64;0.57
3795,2,position_pueblo.csv;function_flow.csv,0.63;0.60
3807,2,total.csv;position_pueblo.csv,0.56;0.64
3815,1,position_pueblo.csv,0.61
3818,2,position_pueblo.csv;function_flow.csv,0.59;0.62
3819,1,function_flow.csv,0.57
3837,1,position_pueblo.csv,0.61
3839,2,position_pueblo.csv;function_flow.csv,0.62;0.61
3840,2,position_pueblo.csv;function_flow.csv,0.61;0.62
3856,1,position_pueblo.csv,0.59
3869,1,position_pueblo.csv,0.62
3870,2,position_pueblo.csv;function_flow.csv,0.59;0.57
3881,4,total.csv;position_playa.csv;function_flow.csv;function_drive.csv,0.56;0.65;0.57;0.61
3882,1,position_playa.csv,0.60
3883,1,position_pueblo.csv,0.59
3890,1,position_pueblo.csv,0.59
3891,1,position_pueblo.csv,0.66
3914,2,position_pueblo.csv;function_flow.csv,0.59;0.59
3917,1,function_flow.csv,0.57
3923,1,function_flow.csv,0.58
3934,1,position_playa.csv,0.59
3935,1,position_playa.csv,0.61
3943,1,function_flow.csv,0.59
3944,1,position_pueblo.csv,0.61
3952,2,total.csv;function_presure.csv,0.55;0.58
3955,1,position_playa.csv,0.60
3963,1,position_pueblo.csv,0.62
3964,1,position_pueblo.csv,0.60
3965,1,position_pueblo.csv,0.59
3970,1,position_falcon.csv,0.58
3971,1,position_falcon.csv,0.60
3981,1,position_playa.csv,0.58
3991,1,position_pueblo.csv,0.60
3994,1,position_pueblo.csv,0.60
4013,2,position_playa.csv;function_drive.csv,0.63;0.61
4015,1,position_pueblo.csv,0.59
4023,1,position_pueblo.csv,0.64
4024,2,position_pueblo.csv;function_flow.csv,0.67;0.62
4026,3,total.csv;position_pueblo.csv;function_presure.csv,0.55;0.60;0.58
4027,3,total.csv;position_playa.csv;position_falcon.csv,0.57;0.59;0.60
4028,2,position_playa.csv;function_flow.csv,0.59;0.57
4038,1,total.csv,0.56
4039,1,total.csv,0.55
4043,1,position_pueblo.csv,0.66
4044,4,total.csv;position_pueblo.csv;function_presure.csv;function_flow.csv,0.56;0.69;0.60;0.61
4045,1,function_flow.csv,0.59
4048,2,position_pueblo.csv;function_flow.csv,0.59;0.59
4049,1,function_flow.csv,0.57
4050,3,total.csv;position_plaxiquet.csv;function_flow.csv,0.55;0.61;0.59
4052,2,total.csv;position_playa.csv,0.60;0.58
4060,1,position_pueblo.csv,0.60
4062,1,position_pueblo.csv,0.60
4067,1,position_pueblo.csv,0.61
4068,1,function_flow.csv,0.61
4077,3,total.csv;function_presure.csv;function_flow.csv,0.55;0.58;0.58
4083,1,position_pueblo.csv,0.62
4084,1,position_pueblo.csv,0.59
4094,1,position_playa.csv,0.58
4095,2,total.csv;position_playa.csv,0.59;0.61
4096,1,position_playa.csv,0.62
4102,2,total.csv;position_pueblo.csv,0.56;0.60
4103,1,position_pueblo.csv,0.63
4104,2,position_pueblo.csv;function_flow.csv,0.61;0.58
4105,1,position_pueblo.csv,0.59
4106,1,position_pueblo.csv,0.62
4118,1,position_playa.csv,0.59
4130,1,position_pueblo.csv,0.65
4141,2,position_playa.csv;function_flow.csv,0.59;0.60
4160,1,position_playa.csv,0.60
4165,1,position_playa.csv,0.59
4166,1,position_playa.csv,0.58
4184,1,position_playa.csv,0.58
4185,2,total.csv;position_playa.csv,0.57;0.59
4186,1,function_flow.csv,0.58
4196,1,function_presure.csv,0.59
4226,1,position_playa.csv,0.61
4227,1,position_playa.csv,0.58
4252,1,position_playa.csv,0.60
4276,1,function_presure.csv,0.58
4318,1,function_presure.csv,0.59
4326,2,total.csv;position_playa.csv,0.57;0.60
4335,1,position_playa.csv,0.58
4340,1,position_playa.csv,0.61
4366,1,function_presure.csv,0.58
4374,1,total.csv,0.55
4375,1,function_flow.csv,0.57
4499,1,position_pueblo.csv,0.61
4538,1,position_plaxiquet.csv,0.61
4557,1,position_playa.csv,0.58
4565,1,position_playa.csv,0.58
4570,1,position_pueblo.csv,0.62
4575,1,position_playa.csv,0.58
4587,3,total.csv;position_plaxiquet.csv;position_falcon.csv,0.56;0.70;0.59
4636,1,position_pueblo.csv,0.59
4818,1,position_falcon.csv,0.62
4853,2,position_plaxiquet.csv;function_level.csv,0.68;0.61
4854,2,position_plaxiquet.csv;function_level.csv,0.69;0.64
4855,1,position_plaxiquet.csv,0.62
4856,1,position_plaxiquet.csv,0.59
4857,1,position_plaxiquet.csv,0.61
4858,1,position_plaxiquet.csv,0.61
4859,1,position_plaxiquet.csv,0.66
4860,1,position_plaxiquet.csv,0.60
4861,1,function_level.csv,0.62
4863,1,position_plaxiquet.csv,0.61
5046,1,position_plaxiquet.csv,0.59
5052,3,total.csv;position_falcon.csv;function_drive.csv,0.68;0.68;0.60
5053,3,total.csv;position_falcon.csv;function_drive.csv,0.74;0.73;0.60
5139,1,function_presure.csv,0.60
5197,2,position_playa.csv;function_presure.csv,0.60;0.58
5276,1,function_presure.csv,0.59
5277,1,function_presure.csv,0.61
5358,2,position_playa.csv;function_presure.csv,0.59;0.58
5381,1,function_presure.csv,0.58
5417,1,function_level.csv,0.66
5418,1,function_level.csv,0.62
5440,1,function_level.csv,0.62
5446,1,position_falcon.csv,0.62
5450,1,function_level.csv,0.62
5456,1,function_level.csv,0.63
5471,2,position_playa.csv;function_level.csv,0.60;0.62
5472,1,function_level.csv,0.63
5473,2,position_playa.csv;function_level.csv,0.58;0.62
5511,1,function_drive.csv,0.59
5522,4,total.csv;position_playa.csv;position_falcon.csv;function_drive.csv,0.59;0.59;0.62;0.65
5525,5,total.csv;position_plaxiquet.csv;function_level.csv;function_flow.csv;function_drive.csv,0.59;0.62;0.64;0.60;0.59
5534,1,function_presure.csv,0.59
5535,1,function_flow.csv,0.57
5544,2,position_playa.csv;function_level.csv,0.60;0.61
5600,2,total.csv;function_level.csv,0.55;0.63
5601,1,function_level.csv,0.62
5602,1,function_level.csv,0.63
5603,1,function_level.csv,0.62
5612,1,function_presure.csv,0.58
5620,1,position_playa.csv,0.59
5627,1,function_presure.csv,0.58
5657,1,function_drive.csv,0.59
5669,1,function_presure.csv,0.58
5670,1,function_presure.csv,0.61
5737,1,function_drive.csv,0.59
5831,1,position_playa.csv,0.68
5832,1,position_playa.csv,0.64
5833,2,position_playa.csv;function_presure.csv,0.71;0.64
5834,2,position_playa.csv;function_presure.csv,0.70;0.69
5858,2,position_plaxiquet.csv;function_presure.csv,0.61;0.61
5990,1,function_presure.csv,0.58
5995,1,function_presure.csv,0.62
6021,3,total.csv;position_plaxiquet.csv;function_level.csv,0.55;0.63;0.64
6022,2,position_plaxiquet.csv;function_level.csv,0.62;0.61
6027,1,position_playa.csv,0.61
6045,1,position_falcon.csv,0.58
6046,1,position_falcon.csv,0.58
6047,1,position_falcon.csv,0.60
6053,2,position_playa.csv;function_presure.csv,0.60;0.61
6056,1,position_playa.csv,0.58
6069,1,position_playa.csv,0.59
6151,1,function_presure.csv,0.58
6152,1,function_presure.csv,0.63
6153,1,function_level.csv,0.66
6158,2,position_plaxiquet.csv;function_presure.csv,0.60;0.60
6286,1,position_plaxiquet.csv,0.69
6323,1,position_plaxiquet.csv,0.59
6344,2,position_plaxiquet.csv;function_presure.csv,0.64;0.65
6363,1,function_presure.csv,0.60
6364,3,position_playa.csv;function_presure.csv;function_drive.csv,0.59;0.58;0.59
6385,1,position_plaxiquet.csv,0.59
6397,1,function_presure.csv,0.60
6417,2,position_pueblo.csv;function_flow.csv,0.60;0.58
6479,4,total.csv;position_falcon.csv;function_presure.csv;function_flow.csv,0.55;0.59;0.60;0.60
6480,3,position_plaxiquet.csv;function_presure.csv;function_flow.csv,0.61;0.66;0.65
6481,5,total.csv;position_plaxiquet.csv;position_falcon.csv;function_presure.csv;function_flow.csv,0.64;0.59;0.72;0.68;0.66
6503,1,function_flow.csv,0.59
6504,4,total.csv;position_falcon.csv;function_presure.csv;function_flow.csv,0.58;0.63;0.59;0.57
6516,1,function_presure.csv,0.58
6529,2,function_level.csv;function_drive.csv,0.64;0.59
6537,2,position_playa.csv;function_drive.csv,0.61;0.67
6538,1,position_plaxiquet.csv,0.59
6543,1,function_presure.csv,0.58
6555,1,position_plaxiquet.csv,0.59
6557,2,position_playa.csv;function_level.csv,0.59;0.61
6558,1,position_playa.csv,0.60
6591,1,function_level.csv,0.63
6592,3,position_plaxiquet.csv;function_level.csv;function_drive.csv,0.60;0.65;0.60
6593,4,position_playa.csv;function_presure.csv;function_level.csv;function_drive.csv,0.58;0.60;0.63;0.60
6594,2,position_plaxiquet.csv;position_falcon.csv,0.60;0.59
6597,1,function_level.csv,0.62
6611,1,function_level.csv,0.64
6612,1,position_pueblo.csv,0.60
