id,num,scores_files,scores_sum,num_files
258,2,0.59;0.6,1.19,position_playa.csv;function_drive.csv
4141,2,0.59;0.6,1.19,position_playa.csv;function_flow.csv
6594,2,0.6;0.59,1.19,position_plaxiquet.csv;position_falcon.csv
7,2,0.57;0.62,1.19,position_falcon.csv;function_presure.csv
3,2,0.59;0.6,1.19,function_presure.csv;function_level.csv
4095,2,0.59;0.61,1.2,total.csv;position_playa.csv
218,2,0.58;0.62,1.2,total.csv;position_plaxiquet.csv
259,2,0.61;0.59,1.2,position_playa.csv;function_drive.csv
6557,2,0.59;0.61,1.2,position_playa.csv;function_level.csv
5473,2,0.58;0.62,1.2,position_playa.csv;function_level.csv
764,2,0.6;0.6,1.2,position_plaxiquet.csv;function_flow.csv
6158,2,0.6;0.6,1.2,position_plaxiquet.csv;function_presure.csv
306,2,0.62;0.58,1.2,position_falcon.csv;function_drive.csv
951,2,0.62;0.58,1.2,position_falcon.csv;function_presure.csv
2672,2,0.56;0.64,1.2000000000000002,total.csv;position_falcon.csv
3807,2,0.56;0.64,1.2000000000000002,total.csv;position_pueblo.csv
3794,2,0.64;0.57,1.21,position_pueblo.csv;function_flow.csv
3818,2,0.59;0.62,1.21,position_pueblo.csv;function_flow.csv
376,2,0.6;0.61,1.21,position_playa.csv;function_flow.csv
5544,2,0.6;0.61,1.21,position_playa.csv;function_level.csv
6053,2,0.6;0.61,1.21,position_playa.csv;function_presure.csv
1562,2,0.6;0.61,1.21,position_plaxiquet.csv;function_presure.csv
192,2,0.58;0.63,1.21,position_plaxiquet.csv;function_level.csv
198,2,0.58;0.63,1.21,position_plaxiquet.csv;function_level.csv
261,2,0.61;0.61,1.22,position_playa.csv;function_drive.csv
5471,2,0.6;0.62,1.22,position_playa.csv;function_level.csv
5858,2,0.61;0.61,1.22,position_plaxiquet.csv;function_presure.csv
1506,2,0.64;0.58,1.22,position_falcon.csv;function_drive.csv
3317,2,0.63;0.59,1.22,function_level.csv;function_flow.csv
211,2,0.62;0.61,1.23,total.csv;function_level.csv
3795,2,0.63;0.6,1.23,position_pueblo.csv;function_flow.csv
3839,2,0.62;0.61,1.23,position_pueblo.csv;function_flow.csv
3840,2,0.61;0.62,1.23,position_pueblo.csv;function_flow.csv
6022,2,0.62;0.61,1.23,position_plaxiquet.csv;function_level.csv
223,2,0.61;0.62,1.23,position_plaxiquet.csv;function_level.csv
6529,2,0.64;0.59,1.23,function_level.csv;function_drive.csv
2606,2,0.57;0.67,1.24,total.csv;position_falcon.csv
4013,2,0.63;0.61,1.24,position_playa.csv;function_drive.csv
3681,2,0.6;0.65,1.25,position_pueblo.csv;function_flow.csv
319,2,0.65;0.6,1.25,position_plaxiquet.csv;function_level.csv
283,2,0.63;0.62,1.25,position_plaxiquet.csv;function_level.csv
190,2,0.61;0.64,1.25,position_plaxiquet.csv;function_level.csv
3309,2,0.61;0.65,1.26,total.csv;position_plaxiquet.csv
1574,2,0.62;0.64,1.26,position_playa.csv;function_drive.csv
2573,2,0.58;0.68,1.26,position_plaxiquet.csv;position_falcon.csv
6537,2,0.61;0.67,1.28,position_playa.csv;function_drive.csv
4024,2,0.67;0.62,1.29,position_pueblo.csv;function_flow.csv
4853,2,0.68;0.61,1.29,position_plaxiquet.csv;function_level.csv
6344,2,0.64;0.65,1.29,position_plaxiquet.csv;function_presure.csv
4854,2,0.69;0.64,1.33,position_plaxiquet.csv;function_level.csv
5833,2,0.71;0.64,1.35,position_playa.csv;function_presure.csv
5834,2,0.7;0.69,1.39,position_playa.csv;function_presure.csv
213,1,0.54,0.54,total.csv
217,1,0.54,0.54,total.csv
1202,1,0.55,0.55,total.csv
2651,1,0.55,0.55,total.csv
2714,1,0.55,0.55,total.csv
3610,1,0.55,0.55,total.csv
4039,1,0.55,0.55,total.csv
4374,1,0.55,0.55,total.csv
216,1,0.56,0.56,total.csv
226,1,0.56,0.56,total.csv
2608,1,0.56,0.56,total.csv
3721,1,0.56,0.56,total.csv
4038,1,0.56,0.56,total.csv
325,1,0.56,0.56,function_flow.csv
2715,1,0.57,0.57,total.csv
260,1,0.57,0.57,position_playa.csv
36,1,0.57,0.57,position_falcon.csv
38,1,0.57,0.57,position_falcon.csv
39,1,0.57,0.57,position_falcon.csv
171,1,0.57,0.57,position_falcon.csv
375,1,0.57,0.57,function_flow.csv
381,1,0.57,0.57,function_flow.csv
397,1,0.57,0.57,function_flow.csv
399,1,0.57,0.57,function_flow.csv
918,1,0.57,0.57,function_flow.csv
2223,1,0.57,0.57,function_flow.csv
3595,1,0.57,0.57,function_flow.csv
3659,1,0.57,0.57,function_flow.csv
3682,1,0.57,0.57,function_flow.csv
3783,1,0.57,0.57,function_flow.csv
3819,1,0.57,0.57,function_flow.csv
3917,1,0.57,0.57,function_flow.csv
4049,1,0.57,0.57,function_flow.csv
4375,1,0.57,0.57,function_flow.csv
5535,1,0.57,0.57,function_flow.csv
191,1,0.58,0.58,total.csv
3498,1,0.58,0.58,total.csv
90,1,0.58,0.58,position_pueblo.csv
573,1,0.58,0.58,position_pueblo.csv
3258,1,0.58,0.58,position_pueblo.csv
3500,1,0.58,0.58,position_pueblo.csv
1356,1,0.58,0.58,position_playa.csv
3279,1,0.58,0.58,position_playa.csv
3315,1,0.58,0.58,position_playa.csv
3981,1,0.58,0.58,position_playa.csv
4094,1,0.58,0.58,position_playa.csv
4166,1,0.58,0.58,position_playa.csv
4184,1,0.58,0.58,position_playa.csv
4227,1,0.58,0.58,position_playa.csv
4335,1,0.58,0.58,position_playa.csv
4557,1,0.58,0.58,position_playa.csv
4565,1,0.58,0.58,position_playa.csv
4575,1,0.58,0.58,position_playa.csv
6056,1,0.58,0.58,position_playa.csv
2,1,0.58,0.58,position_plaxiquet.csv
184,1,0.58,0.58,position_plaxiquet.csv
203,1,0.58,0.58,position_plaxiquet.csv
205,1,0.58,0.58,position_plaxiquet.csv
1121,1,0.58,0.58,position_plaxiquet.csv
17,1,0.58,0.58,position_falcon.csv
968,1,0.58,0.58,position_falcon.csv
971,1,0.58,0.58,position_falcon.csv
1057,1,0.58,0.58,position_falcon.csv
1471,1,0.58,0.58,position_falcon.csv
2092,1,0.58,0.58,position_falcon.csv
2125,1,0.58,0.58,position_falcon.csv
2158,1,0.58,0.58,position_falcon.csv
2457,1,0.58,0.58,position_falcon.csv
2791,1,0.58,0.58,position_falcon.csv
3970,1,0.58,0.58,position_falcon.csv
6045,1,0.58,0.58,position_falcon.csv
6046,1,0.58,0.58,position_falcon.csv
99,1,0.58,0.58,function_presure.csv
321,1,0.58,0.58,function_presure.csv
941,1,0.58,0.58,function_presure.csv
978,1,0.58,0.58,function_presure.csv
1734,1,0.58,0.58,function_presure.csv
2752,1,0.58,0.58,function_presure.csv
4276,1,0.58,0.58,function_presure.csv
4366,1,0.58,0.58,function_presure.csv
5381,1,0.58,0.58,function_presure.csv
5612,1,0.58,0.58,function_presure.csv
5627,1,0.58,0.58,function_presure.csv
5669,1,0.58,0.58,function_presure.csv
5990,1,0.58,0.58,function_presure.csv
6151,1,0.58,0.58,function_presure.csv
6516,1,0.58,0.58,function_presure.csv
6543,1,0.58,0.58,function_presure.csv
618,1,0.58,0.58,function_flow.csv
884,1,0.58,0.58,function_flow.csv
2263,1,0.58,0.58,function_flow.csv
3680,1,0.58,0.58,function_flow.csv
3923,1,0.58,0.58,function_flow.csv
4186,1,0.58,0.58,function_flow.csv
221,1,0.58,0.58,function_drive.csv
386,1,0.58,0.58,function_drive.csv
388,1,0.58,0.58,function_drive.csv
420,1,0.58,0.58,function_drive.csv
436,1,0.58,0.58,function_drive.csv
471,1,0.58,0.58,function_drive.csv
833,1,0.58,0.58,function_drive.csv
1174,1,0.58,0.58,function_drive.csv
1505,1,0.58,0.58,function_drive.csv
1559,1,0.58,0.58,function_drive.csv
2359,1,0.59,0.59,total.csv
3589,1,0.59,0.59,position_pueblo.csv
3616,1,0.59,0.59,position_pueblo.csv
3626,1,0.59,0.59,position_pueblo.csv
3856,1,0.59,0.59,position_pueblo.csv
3883,1,0.59,0.59,position_pueblo.csv
3890,1,0.59,0.59,position_pueblo.csv
3965,1,0.59,0.59,position_pueblo.csv
4015,1,0.59,0.59,position_pueblo.csv
4084,1,0.59,0.59,position_pueblo.csv
4105,1,0.59,0.59,position_pueblo.csv
4636,1,0.59,0.59,position_pueblo.csv
242,1,0.59,0.59,position_playa.csv
3335,1,0.59,0.59,position_playa.csv
3934,1,0.59,0.59,position_playa.csv
4118,1,0.59,0.59,position_playa.csv
4165,1,0.59,0.59,position_playa.csv
5620,1,0.59,0.59,position_playa.csv
6069,1,0.59,0.59,position_playa.csv
19,1,0.59,0.59,position_plaxiquet.csv
1503,1,0.59,0.59,position_plaxiquet.csv
2879,1,0.59,0.59,position_plaxiquet.csv
4856,1,0.59,0.59,position_plaxiquet.csv
5046,1,0.59,0.59,position_plaxiquet.csv
6323,1,0.59,0.59,position_plaxiquet.csv
6385,1,0.59,0.59,position_plaxiquet.csv
6538,1,0.59,0.59,position_plaxiquet.csv
6555,1,0.59,0.59,position_plaxiquet.csv
37,1,0.59,0.59,position_falcon.csv
1415,1,0.59,0.59,position_falcon.csv
1499,1,0.59,0.59,position_falcon.csv
